,quality
5138,6
4176,5
2002,5
671,5
3019,4
2076,6
870,6
5670,6
1180,6
3613,5
3352,7
5508,7
4365,6
2737,5
2816,5
576,4
5141,6
6151,6
820,5
1632,6
1325,6
2584,6
772,5
6397,5
2791,6
4429,5
3429,7
4458,6
1028,6
3527,6
2438,7
5144,6
2275,6
5575,7
2893,4
5467,6
3066,7
2798,7
2712,5
632,6
4887,6
4812,6
3189,6
3495,6
6442,5
1698,6
2927,6
5328,5
6261,6
3561,5
4337,5
863,5
1424,6
5416,6
243,7
5451,6
5041,7
1884,5
6212,5
560,5
4336,7
2072,7
2468,6
2861,6
2194,7
6251,5
2690,6
2295,6
476,5
1324,6
5047,7
1981,6
1798,5
2440,7
4318,6
5477,5
3442,6
5676,6
2673,6
1298,6
373,5
602,5
3078,6
4892,7
1856,7
3088,5
5635,5
54,6
4989,6
2050,5
2713,4
591,6
5365,5
4227,6
5220,7
4210,5
3437,6
994,5
4394,8
4708,4
5164,6
1828,5
624,5
2845,7
3853,6
5418,6
2016,5
628,6
4384,5
1613,5
3880,6
979,5
3783,6
328,6
1420,5
3281,7
4583,6
2466,8
5336,5
1265,6
3074,6
3411,6
3166,5
3717,6
3549,5
4545,6
1449,8
6032,5
5010,6
3595,6
2497,6
5486,6
4581,6
525,5
956,6
600,4
4666,4
5219,7
1789,6
6404,6
285,5
4343,6
2999,7
140,5
5136,5
5756,7
4845,6
5017,6
699,6
4173,5
4625,6
2334,6
5401,5
4568,6
1540,6
6035,6
1509,5
1462,6
3031,7
1216,6
3479,5
4042,5
4614,6
3825,5
4080,6
2697,6
2173,7
433,5
3863,6
4879,5
915,6
2464,6
5814,5
3984,5
4735,5
6293,7
1684,6
4915,6
3947,6
2311,6
3941,8
4299,7
902,7
2349,6
4886,7
5779,6
3395,5
3146,6
5613,6
6017,6
769,5
1679,6
2202,5
3761,6
1352,5
5357,5
4787,8
2776,6
5634,6
6331,6
3779,6
1836,6
3711,5
6109,6
1890,6
5005,6
2388,6
3975,6
6225,6
1443,5
1121,6
2928,5
2229,5
2413,6
3419,6
5409,3
2289,4
5976,6
1127,6
5449,6
5142,6
366,7
3726,5
4974,6
6467,6
2858,6
3024,6
3177,5
1214,6
2403,6
763,5
988,5
5997,5
1908,6
2061,5
2143,6
1898,6
5804,6
6170,7
3446,5
2187,7
5435,6
4392,7
2613,5
2028,5
2536,5
1592,6
5429,7
2462,6
5545,6
5826,7
3003,5
5506,7
6219,6
50,5
216,5
3307,4
596,6
6396,6
4398,7
3304,6
5632,6
4469,7
1584,7
3423,5
5701,5
2145,6
6466,6
2179,5
4599,7
1524,6
6431,5
5694,6
188,5
1191,5
675,5
1311,6
364,7
2441,7
992,6
3963,5
3828,6
4701,6
4018,5
1871,5
5485,6
5636,5
1651,7
5123,6
2015,6
3692,5
5430,5
5443,6
4532,6
2748,5
1480,4
5244,6
5961,6
1705,5
5603,7
2370,7
3266,6
4811,5
4779,6
3403,6
1264,6
5221,6
6166,5
3055,6
5264,8
679,5
1712,5
446,5
5589,6
4244,7
3210,6
5224,5
3157,4
6409,5
5774,7
1991,6
4565,6
1302,6
1140,6
3813,5
1700,5
6333,6
6129,6
5059,6
4628,8
6386,8
5344,7
3461,7
5606,5
3119,6
6480,6
5233,7
1917,7
5420,6
3082,4
3468,7
1364,6
2699,6
3137,6
3353,6
3666,5
3256,6
4271,7
2243,5
4066,6
490,6
4372,7
800,5
3011,8
3046,6
1106,6
2435,8
5936,8
3758,4
2828,3
2407,6
2620,7
5216,5
4261,6
6067,6
2611,6
3125,6
4218,6
1628,7
5033,6
3534,5
2956,6
1317,6
2751,4
1973,7
3068,5
2563,6
4344,7
5620,5
6231,6
1676,7
2549,5
2886,7
2091,6
3602,6
2792,7
2505,4
5824,5
2181,6
1659,6
4754,7
4930,6
6337,6
1506,6
1928,5
3016,3
3286,7
892,6
2851,6
4641,6
853,6
5938,8
866,6
3104,7
839,5
3622,6
2313,6
5146,6
4359,6
1134,7
1757,8
4805,7
4113,7
1328,5
5431,5
5931,8
4009,6
3047,6
3898,7
4509,5
3081,6
4850,6
2168,6
794,6
3872,5
5683,8
3241,7
478,5
163,5
659,4
2844,4
656,5
5156,6
4516,7
6101,6
1054,6
1435,6
220,6
4243,6
1,5
3076,6
5321,5
5436,6
4390,5
739,5
1408,7
1429,5
2219,5
4051,7
3332,6
1611,5
4118,5
4123,5
2169,5
3820,6
4332,7
6118,6
1373,5
5464,6
6125,6
5875,7
1556,5
5660,5
5769,7
318,7
998,6
6350,6
3155,6
2147,7
2924,7
400,5
5973,5
1037,5
3321,6
5294,6
2553,6
2404,6
4802,7
822,5
5678,6
3563,5
3126,6
5134,5
4445,7
413,7
2971,6
791,5
5128,7
2782,6
4763,6
2925,6
3628,6
5505,7
2096,6
4998,6
1395,6
2825,7
3358,5
938,7
317,6
4489,8
758,5
1687,5
1692,7
167,4
5410,5
4631,5
3883,5
5615,5
3568,7
1196,6
4249,5
308,6
1696,7
1022,5
87,5
5725,5
1314,6
3360,6
5054,6
6169,6
2738,5
5275,7
505,7
3958,5
1618,5
6268,5
1518,5
4891,5
2011,5
3772,5
6094,6
109,5
62,7
4355,6
647,4
3564,6
5276,6
3959,6
1961,6
1386,5
3009,6
6126,6
663,6
1622,5
93,5
3478,6
161,4
460,6
3067,5
533,6
187,5
4053,5
2493,7
3058,6
4013,4
1438,5
4005,6
893,5
5377,7
2676,5
174,5
6363,6
3518,6
195,5
2723,5
2948,4
4668,8
6462,7
1109,6
2838,5
6016,6
4741,6
529,5
3790,5
1646,5
1058,7
6108,5
6072,5
3539,5
82,5
4595,8
4301,5
2517,6
2241,6
1402,6
6090,6
4416,7
4083,5
3465,6
1791,6
2329,6
1368,6
2652,4
5950,6
3973,6
1528,6
327,5
562,5
2616,6
964,6
3955,6
6274,6
5874,6
5611,6
1721,5
3451,7
648,7
3679,5
3832,5
6145,6
3327,5
498,8
1104,6
4052,6
6253,7
1190,6
1738,6
2794,6
2911,5
951,7
5965,6
4598,7
5714,6
6329,5
419,5
1915,6
5624,6
2340,6
810,5
441,6
3367,5
4736,6
2679,7
6428,7
3238,5
2201,5
516,6
1289,5
963,6
571,6
5014,7
1532,6
3907,5
532,5
4303,6
2406,6
556,6
1376,5
2272,6
2141,6
110,5
3687,6
270,6
3656,7
4824,7
4293,6
4383,6
1082,6
3237,5
4486,5
2885,7
4704,6
1487,5
5367,6
894,6
5720,6
2290,6
6408,6
1968,5
1151,6
1729,5
239,6
2715,5
5702,7
5360,7
6291,5
1637,5
4422,6
3859,5
578,5
4067,6
2556,7
6221,7
3069,7
6479,6
3005,8
4644,6
287,6
2315,6
5601,6
2166,5
5383,6
5105,6
2514,5
4669,8
2802,6
3471,5
3508,5
5673,4
4276,6
3946,6
1734,5
3744,6
5729,6
2198,7
3150,6
1304,5
3096,7
2921,6
1517,6
4870,7
4485,5
5571,6
4428,5
1983,7
4403,8
3105,6
2448,6
6164,5
708,6
6050,5
5254,7
2664,5
3903,6
802,7
5807,6
2746,5
4791,6
3586,5
3410,5
3027,7
2044,3
1730,7
4245,7
5727,5
3303,5
6377,6
5145,6
1354,5
5099,7
4630,6
2188,6
5075,8
4294,6
4726,5
916,5
1222,6
2273,5
4629,8
2529,7
1292,6
5249,4
2087,6
3355,5
4305,6
5210,6
231,6
3868,6
169,5
10,5
1132,7
5194,7
2020,6
4844,5
5089,7
4895,5
4687,6
2732,5
3277,6
2519,7
2463,5
6482,6
235,6
3547,7
2668,6
817,6
2430,4
338,6
4662,5
4728,6
3020,6
3310,5
4837,5
1896,7
5470,6
248,6
26,5
4554,5
4188,4
4404,6
5445,6
6353,6
3390,5
720,5
3191,6
3013,6
206,7
1120,8
3642,6
1220,6
636,5
4615,6
6052,6
3553,5
2119,5
1361,5
3030,5
131,5
704,4
2384,6
948,7
5114,7
646,5
1254,5
2328,5
5236,7
2108,7
376,6
1200,6
2111,6
3251,4
2822,5
1501,5
2434,8
873,7
6077,5
5579,5
3696,5
5582,6
4984,6
1513,6
4607,7
4682,7
2357,7
6448,5
3810,6
3085,6
4449,5
827,5
1893,3
5396,5
92,5
3128,6
2255,6
5498,5
3569,6
4199,7
2358,7
2030,5
5884,6
6043,6
899,3
5518,6
1206,7
2630,6
1669,6
584,7
2051,7
6351,7
2643,7
3470,6
2596,6
4090,5
5675,5
6463,5
4142,6
4954,6
1406,6
143,5
5856,5
457,5
1332,6
6204,6
265,7
4868,5
3533,6
1845,7
4617,8
5594,5
5691,6
1771,4
2380,6
2439,7
2530,5
4821,6
2365,5
1652,6
741,5
1461,4
2958,7
4967,6
2950,7
793,5
5488,6
5969,5
4523,6
2500,6
75,5
4611,6
1538,5
2053,7
2128,6
99,6
5713,6
336,6
3094,7
6450,5
2501,5
2415,5
5617,6
1599,6
4382,6
3017,5
1242,6
5647,6
4475,5
6103,5
2849,7
3172,5
5345,5
4146,5
3235,5
6213,5
5907,6
5885,6
5808,6
4584,7
2499,7
5902,6
6383,5
2684,5
5444,5
5525,6
927,4
4955,6
5631,5
6020,6
1877,4
4017,5
1459,7
4132,5
1396,5
4673,5
1136,6
2663,6
1430,5
723,5
314,5
5242,6
2352,6
332,6
5803,6
2029,5
2039,7
1978,7
844,6
2963,5
3374,6
1986,5
5056,7
3494,6
1886,7
1225,5
11,5
4156,7
3372,6
6057,7
4492,7
4945,6
3292,5
5012,6
1578,6
3402,6
2325,7
5583,7
2787,6
2278,7
904,7
5064,6
1381,5
5946,7
6324,6
6188,6
295,5
4738,6
1673,8
639,6
3015,6
2200,6
5709,5
3121,5
1034,6
3167,6
5081,8
1179,6
665,5
6301,6
1018,6
3490,5
517,3
928,5
3475,6
3536,7
4605,6
1051,5
6097,5
3962,5
4848,7
2922,5
2701,5
2818,8
4112,5
3506,7
6038,5
5990,5
2693,5
3521,5
3829,7
5742,6
884,6
1603,6
1629,6
3042,6
3795,6
1101,6
2635,5
4104,6
3522,5
495,8
5740,6
349,6
2527,5
1708,5
6191,6
2151,7
5710,6
2391,5
2707,7
728,5
3945,4
6014,5
286,6
6444,5
2479,7
1970,6
2265,6
1495,6
2395,6
2090,7
1619,8
3509,5
1635,5
20,6
4399,5
5191,7
558,6
4550,5
3252,6
4885,7
6302,7
5572,4
2674,7
3466,6
275,6
6356,7
4148,5
3365,5
1891,5
118,6
2197,8
511,6
3891,6
5868,5
3186,6
385,6
3542,5
5773,6
848,5
2261,4
3584,6
5150,6
5655,5
856,6
1523,5
268,6
2054,6
4107,6
4963,6
6439,7
4194,5
1760,5
1974,7
3389,5
3921,6
6307,6
256,5
6300,6
3065,6
6045,6
6172,6
6298,5
4675,5
5299,5
4840,7
1153,6
136,5
933,5
1600,6
975,5
2899,6
1844,6
5872,6
5539,5
2498,6
4026,6
6440,6
4497,5
4720,5
888,6
1040,5
2160,5
1655,6
3505,5
1848,5
967,5
4106,7
3107,6
3931,6
3788,6
6119,5
5813,5
5225,5
4085,5
2359,6
6196,6
3695,5
1388,5
2099,6
6348,6
4460,6
4302,5
926,6
3129,5
1693,7
4817,4
3242,7
4889,5
4634,7
3862,5
262,5
869,6
3937,5
2218,6
2945,7
1003,7
374,6
2427,7
4338,7
6029,5
6010,7
1009,5
1805,5
436,6
776,6
577,5
112,5
6344,3
977,5
1516,5
148,6
4580,7
4572,6
6270,5
5437,5
1456,6
475,5
157,5
601,6
5248,6
779,5
4767,6
2508,5
2739,6
2889,6
5296,6
3835,5
207,5
2288,7
2888,6
4099,5
2985,7
5602,6
2836,5
4559,7
5758,7
1152,5
4198,6
3092,8
5730,5
5574,7
340,6
3648,7
6059,6
1005,7
5844,5
2070,5
4139,5
5312,5
3809,7
4480,7
4535,5
1650,7
6114,6
6275,6
4751,6
240,5
6321,6
4436,6
5944,6
4573,6
1794,6
5217,7
3097,6
2943,8
2920,6
861,6
1768,5
1944,6
1334,5
2824,6
2480,6
4979,7
4455,7
1638,5
3026,5
4500,7
3576,6
1824,5
403,6
2010,6
4638,6
3588,7
5388,6
4874,4
531,5
3179,5
1786,5
2007,6
5880,5
553,5
1375,5
5515,6
2753,4
6474,6
3048,6
6465,6
1717,5
2843,5
4116,6
2369,7
2653,5
201,5
2992,6
5860,7
1639,6
1867,6
2477,6
1305,5
5546,7
145,5
1469,3
2554,5
2492,7
2185,6
4254,5
3976,6
2428,7
96,5
5289,7
5308,5
470,5
3938,6
32,5
6048,6
5256,8
6154,5
1860,5
5659,5
5586,6
2300,7
5472,5
3770,7
6459,6
4088,6
606,7
809,6
592,5
2877,6
2781,5
4452,6
4171,5
896,7
3940,5
1075,7
5209,5
1742,6
5847,6
1766,7
5980,6
1137,6
3797,5
6105,6
3194,6
952,7
4423,6
4794,6
1585,6
621,5
3298,6
80,5
3462,5
4329,5
2903,5
6437,6
664,5
5852,4
5211,6
4235,5
2279,5
1419,5
1971,5
5274,6
6367,6
5032,7
3018,7
2930,6
4618,6
5605,6
2287,6
3344,5
2047,6
312,6
796,5
3492,5
2046,6
5258,8
1000,7
5524,5
715,6
5883,6
3844,7
196,5
4444,7
132,5
5116,7
5815,5
1203,5
3751,6
3425,5
2703,5
4187,7
2416,5
5263,8
1657,6
5122,5
2550,6
4524,5
380,6
4471,7
5385,5
5073,6
4209,5
1899,6
3262,6
4442,6
5723,7
5767,6
2762,6
3415,7
5731,5
1933,5
944,7
2841,7
941,7
4774,6
2186,7
6113,5
527,6
770,6
2042,6
424,5
3580,8
6063,5
1822,6
3652,5
653,6
837,7
496,6
5026,6
1837,7
3638,5
2704,7
5029,6
4983,6
2939,6
1366,5
5672,5
1672,6
2852,7
2523,8
4676,5
1539,5
3515,5
451,6
2740,5
1454,6
5900,5
1914,6
4769,6
2632,6
64,5
4262,8
3227,6
1357,6
520,6
4241,5
1414,5
3650,5
5712,6
2854,6
735,5
5771,6
2786,8
6138,5
4219,5
4929,6
762,6
1534,7
2285,7
6147,5
354,6
1787,8
222,5
4164,5
3326,6
1218,6
4054,6
4529,8
1308,5
3207,5
406,6
3347,5
5728,7
4450,5
3757,6
3864,5
1044,6
4498,5
1250,6
5975,5
1811,5
461,5
3513,6
449,6
1980,6
731,5
5008,3
3805,6
2875,7
4727,6
4688,7
5007,6
3152,7
3396,8
4360,5
4242,5
5181,6
4370,6
5207,6
4893,6
6343,5
1141,6
4894,5
4093,4
5751,6
2705,8
4409,7
610,5
3681,6
1783,5
2386,6
3908,6
5685,6
1604,6
3010,6
479,6
172,6
6464,6
5493,6
4446,5
4115,6
6234,6
1816,5
4465,7
24,6
5494,6
5358,6
1310,5
3162,6
1620,7
5661,6
5222,6
5968,6
4228,5
2525,5
4578,7
257,5
2976,6
1808,6
4860,5
6173,7
6314,6
5247,5
212,6
2951,6
2460,7
5595,7
4292,6
1873,5
2820,7
1278,6
2512,5
2408,6
1725,5
1252,5
6346,6
2230,5
5652,7
1211,5
2323,7
6039,5
6083,5
6041,5
4447,5
2244,5
512,6
2350,6
2806,5
3456,5
1671,5
1401,5
5354,6
2719,6
68,5
245,6
1209,7
4419,5
3957,5
1801,5
5473,5
1246,5
2542,7
3630,5
2830,7
504,7
1864,5
4721,6
1156,7
3660,6
6034,6
4927,5
5035,6
2727,5
1758,8
2509,5
1205,7
3730,6
3965,5
5536,5
3064,5
3368,7
5775,6
764,6
209,7
1290,5
1251,5
6190,6
6406,6
3822,6
5688,6
399,5
2000,5
900,5
5499,5
3339,6
1963,7
2856,6
2742,5
2073,6
67,5
3915,7
5016,4
1183,5
1985,7
3201,5
2609,6
3871,6
5918,7
4352,8
551,6
4479,5
4346,6
985,6
1527,6
4832,6
6250,7
6487,5
3855,5
5434,5
1413,5
4775,6
453,7
5618,5
6342,5
754,6
6425,6
5901,6
830,4
5889,5
5851,6
1340,6
783,5
1719,5
481,8
6091,6
5920,6
1293,4
1160,7
4931,7
6278,5
2565,6
5192,7
5578,6
6021,6
2456,5
5642,7
4136,6
6044,6
6471,5
4678,5
4221,7
4448,5
1699,5
4663,5
6013,7
4665,5
2005,7
5917,7
3099,7
2,5
3729,5
3205,6
5915,5
6095,6
2610,7
1446,5
1337,5
5949,6
51,6
3978,4
831,6
5238,6
200,7
1636,6
3342,6
680,5
1625,6
1735,6
4528,6
6264,6
6186,6
5031,5
6470,6
3498,7
1483,5
2933,6
168,6
6354,6
3693,5
2362,6
4938,6
5540,5
2204,6
6146,6
1208,7
4971,6
3875,6
1279,7
740,6
2354,7
799,6
1858,4
5323,6
1210,6
6476,5
4992,6
3364,5
5845,6
693,5
5227,6
5171,6
929,7
5333,5
6051,5
813,4
1790,5
2585,6
3923,5
1489,6
3919,6
742,5
6441,6
303,5
3431,7
1234,6
649,6
918,6
2178,7
6391,6
5370,6
3763,5
911,6
2967,6
745,6
3830,6
2212,5
4800,6
5987,6
4250,5
1549,8
6006,6
895,6
850,5
5629,5
3874,4
2215,7
3639,6
5338,7
3900,5
6015,5
3023,6
1779,6
1800,5
4582,6
1411,6
2698,7
3234,6
3418,6
3839,5
4438,7
4788,5
426,6
4207,6
949,7
4957,6
6358,6
492,7
1616,8
296,5
6200,6
76,5
2685,8
4143,6
6071,5
2862,6
4833,6
3346,6
1605,6
2654,5
5282,6
1269,8
6306,6
507,6
1271,6
3677,6
3232,7
4562,7
5195,7
5469,6
2621,8
3474,5
4133,7
4999,6
4341,6
1052,5
484,6
1851,5
1241,5
3852,5
483,5
133,6
3472,5
3680,5
534,6
4172,5
2586,6
2022,6
2292,5
5055,5
4385,6
6011,7
1838,6
2132,6
3997,6
2088,6
1859,6
4798,7
5890,5
1436,5
655,5
1202,8
3750,5
3426,6
1984,7
875,7
2377,7
3621,6
930,5
6410,6
2012,5
4621,5
4713,6
5314,6
4155,5
1374,3
4175,5
3432,7
3198,6
1313,6
657,7
785,5
4702,7
514,7
4212,5
2240,4
1685,6
134,6
3002,8
5825,7
1554,6
1849,4
3226,5
1681,5
3045,6
4785,4
5088,8
458,7
2006,5
4906,3
914,6
5215,5
1159,5
1496,5
4994,5
710,5
3873,7
4622,6
5086,6
1099,5
493,6
1737,7
2449,7
5043,5
486,5
4548,6
4205,6
5637,5
5612,6
2749,5
4680,5
539,5
4985,8
759,5
1069,5
2555,5
1108,5
6309,7
2041,8
4816,5
1924,5
4393,5
1759,7
1119,5
4191,5
2896,7
922,6
3719,5
4008,4
2485,6
2670,5
1139,6
4167,6
1826,6
3398,6
2433,6
253,5
6160,6
6494,6
3350,7
2252,6
4057,6
3154,7
2780,6
3603,6
955,5
6379,5
3059,6
2419,9
5840,6
2995,7
5066,5
4733,6
5269,6
2451,7
397,6
797,7
4068,5
5619,4
503,7
1755,6
5039,5
1123,6
1444,6
1330,6
5028,5
71,5
3550,4
1400,5
4363,6
2815,8
2629,6
6143,6
2484,7
1377,6
3149,6
3127,6
102,6
865,5
3528,5
2203,6
4140,6
3291,6
5658,6
289,5
3765,5
2594,6
5792,6
273,5
2049,5
1507,6
3039,5
1903,6
5941,6
1932,5
2192,5
3370,6
1610,5
4248,6
159,6
5179,5
348,6
2695,6
5628,6
3285,5
6177,7
3249,7
2084,6
1452,7
5072,8
1715,6
838,7
183,5
2064,5
5943,6
771,5
2700,6
3952,7
4834,6
4306,5
4637,6
3282,7
4743,6
3228,6
678,5
5415,5
5721,6
2814,5
1186,5
4750,6
1749,7
5911,6
2954,5
464,6
5560,5
3876,6
3618,6
5102,7
3516,6
4948,6
1198,6
6405,6
6311,6
3255,5
6455,6
2231,6
2239,7
4040,6
2895,6
2884,6
1023,6
644,5
4901,6
1765,6
1353,5
2383,5
1130,6
85,5
1026,6
2747,6
5750,6
3467,7
3843,5
670,5
5188,6
2103,6
3777,5
6283,6
5366,5
4189,6
2304,5
1608,6
2257,5
934,5
434,6
5024,6
1488,5
3597,6
733,5
858,7
2027,5
3029,4
5117,5
780,6
4224,5
2170,7
3910,7
6316,6
3488,5
4801,7
1823,6
3469,6
6183,6
924,5
3672,5
5863,6
1036,7
1713,5
2531,6
1993,5
2001,5
6340,6
1763,5
4504,5
5759,7
5240,6
4737,6
536,5
582,5
4291,6
3755,4
2972,6
2614,5
4679,6
2220,5
1954,6
5318,5
2327,5
46,5
4722,5
960,6
2276,7
4476,5
2962,4
5061,6
3144,6
4056,6
565,5
4711,5
5566,4
5083,8
281,7
3911,5
2636,5
341,6
1959,6
2057,6
6469,7
1184,5
5458,5
2573,6
2576,5
3837,6
4141,5
3222,6
6430,6
5806,7
3713,6
1977,6
4912,7
4255,4
2104,6
1033,6
682,5
2144,6
193,5
4170,6
6417,6
5196,6
6475,7
3675,5
3661,5
1965,6
2455,5
5923,6
6436,6
2363,6
2164,6
6387,5
4875,8
4753,6
3300,5
5682,5
6009,5
2253,7
5228,6
6056,5
6153,6
6242,6
2226,6
334,7
662,6
4640,6
2309,5
3849,6
4876,7
6332,6
5476,5
2513,4
6447,6
1065,6
4952,6
925,7
5051,5
1471,5
1819,5
44,5
2033,8
2909,6
1701,5
4034,4
692,5
1399,6
4964,7
3916,5
2680,6
638,7
5351,5
4918,5
78,5
3381,6
5497,7
1938,7
2149,7
1566,6
1102,6
4281,6
2711,6
2932,8
3487,5
6288,6
2473,5
6092,6
170,4
2314,7
4852,8
4327,6
3860,6
3720,7
4862,8
984,5
2572,7
4128,5
3351,6
907,6
252,5
2657,6
2811,6
347,6
5743,6
2761,7
356,5
986,7
1229,5
3022,4
394,5
6403,4
311,6
1089,7
3319,7
1994,5
784,5
6420,6
5754,5
4003,5
236,6
1007,7
5466,5
5002,5
2326,5
2458,5
5705,5
612,6
208,5
4990,8
4772,8
3136,6
1248,6
1670,5
1161,6
1967,6
3531,6
4007,5
4144,6
4415,5
4366,6
872,4
5690,6
3204,9
2821,6
4275,6
3654,6
5662,5
2863,5
363,5
3230,6
4089,6
5148,6
4239,6
2716,5
5684,6
4348,6
6181,6
1502,5
2580,7
3103,8
5763,5
2947,8
473,5
5732,6
5568,6
1535,6
101,6
88,5
4434,6
5402,6
4097,5
307,6
6426,6
760,5
691,5
6369,6
5510,6
1341,6
3617,7
4138,5
2065,6
3463,6
4610,6
485,5
1262,5
5259,8
3514,7
6207,7
377,7
566,6
5381,6
2190,6
4947,6
386,6
5966,5
5964,5
156,5
2429,6
4238,6
6385,8
4877,5
5600,5
367,5
6117,6
6100,6
